index,entity,latitude,longitude,rate_class,winter_avg,meter_size,effective_date,source,other_kgal_rates_w,other_kgal_rates_ww,w_min_bill,ww_min_bill,w_block_1_gals,w_block_1_rate,w_block_2_gals,w_block_2_rate,w_block_3_gals,w_block_3_rate,w_block_4_gals,w_block_4_rate,w_block_5_gals,w_block_5_rate,w_block_6_gals,w_block_6_rate,w_block_7_gals,w_block_7_rate,w_block_8_gals,w_block_8_rate,w_block_9_gals,w_block_9_rate,w_block_10_gals,w_block_10_rate,ww_block_1_gals,ww_block_1_rate,ww_block_2_gals,ww_block_2_rate,ww_block_3_gals,ww_block_3_rate,ww_block_4_gals,ww_block_4_rate,ww_block_5_gals,ww_block_5_rate,ww_block_6_gals,ww_block_6_rate,ww_block_7_gals,ww_block_7_rate,ww_block_8_gals,ww_block_8_rate,ww_block_9_gals,ww_block_9_rate,ww_block_10_gals,ww_block_10_rate,updated_on,updated_by,checked_on,checked_by,notes
1,Balch Springs,32.7287,-96.6222,Commercial,No,,2020-10-1,NA,,,23.28,25.91,2000,0,4000,4.76,24000,5.88,999999,7.25,,,,,,,,,,,,,2000,0,4000,4.07,24000,5,999999,6.17,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
2,Fate,32.9446,-96.3847,Commercial,Yes," 5/8"" ",2022-8-15,NA,,,21.32,37.8,5000,4.9,5000,6.62,90000,8.93,999999,12.51,,,,,,,,,,,,,999999,4.71,,,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
3,Forney,32.7489,-96.4714,Commercial,Yes,,2022-10-1,https://www.forneytx.gov/165/Utility-Rates,,,19.44,41.83,2000,0,13000,6.2,999999,7.76,,,,,,,,,,,,,,,1863,0,999999,7.67,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
4,Garland,32.9126,-96.6389,Commercial,Yes," 5/8"" ",2022-10-1,https://www.garlandtx.gov/564/Water-Sewer-Rates,,,22.95,10.96,3000,5.24,12000,6.34,999999,9.9,,,,,,,,,,,,,,,17000,4.74,999999,0,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
5,Heath,32.8385,-96.4742,Commercial,Yes," 5/8"" & 3/4"" ",2022-10-1,NA,,,31.94,51.52,2000,0,8000,5.52,10000,5.66,10000,7.08,20000,8.51,50000,10.21,999999,12.25,,,,,,,999999,5.47,,,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
6,Mesquite,32.7668,-96.5992,Commercial,No," 5/8"" ",2022-10-1,https://www.cityofmesquite.com/231/Rate-Information-and-Billing-Calculation,,,16.52,17.87,1000,0,4000,7.17,5000,7.72,40000,8.1,20000,8.48,430000,8.87,999999,7.34,,,,,,,1000,0,7000,7.02,999999,0,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
7,Rockwall,32.9312,-96.4597,Commercial,Yes," 5/8"" ",2018-12-17,http://www.rockwall.com/utility.asp,,,24.99,22.75,2000,0,6000,3.81,8000,4.79,999999,6.68,,,,,,,,,,,,,999999,3.97,,,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
8,Rowlett,32.9029,-96.5639,Commercial,Yes," <1"" ",2022-10-1,https://www.ci.rowlett.tx.us/398/Water-Service,,,22,21.67,3000,3.76,12000,6.11,999999,7.63,,,,,,,,,,,,,,,10000,5.34,999999,0,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
9,Seagoville,32.6393,-96.538,Commercial,Yes," <3/4"" ",2022-10-1,NA,,,25.73,19.82,2000,0,3000,2.78,5000,3.48,5000,5.36,5000,6.06,5000,6.74,999999,7.46,,,,,,,999999,9.53,,,,,,,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
10,Sunnyvale,32.7951,-96.5603,Commercial,No," 5/8"" & 3/4"" ",2023-1-1,NA,,,35.45,36.11,2000,0,18000,2.98,10000,3.29,10000,5.93,10000,7.12,10000,7.42,999999,8.9,,,,,,,2000,0,3000,3.18,15000,4.76,999999,0,,,,,,,,,,,,,2024-8-24,Max Bernt,,,
